Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Tmax14_days_Min,Tmax14_days_Max,Tmax14_days_Avg,Tmax14_days_Std_dev,Tmin14_days_Min,Tmin14_days_Max,Tmin14_days_Avg,Tmin14_days_Std_dev,Tavg14_days_Min,Tavg14_days_Max,Tavg14_days_Avg,Tavg14_days_Std_dev,DewPoint14_days_Min,DewPoint14_days_Max,DewPoint14_days_Avg,DewPoint14_days_Std_dev,WetBulb14_days_Min,WetBulb14_days_Max,WetBulb14_days_Avg,WetBulb14_days_Std_dev,Heat14_days_Min,Heat14_days_Max,Heat14_days_Avg,Heat14_days_Std_dev,Cool14_days_Min,Cool14_days_Max,Cool14_days_Avg,Cool14_days_Std_dev,PrecipTotal14_days_Min,PrecipTotal14_days_Max,PrecipTotal14_days_Avg,PrecipTotal14_days_Std_dev,StnPressure14_days_Min,StnPressure14_days_Max,StnPressure14_days_Avg,StnPressure14_days_Std_dev,SeaLevel14_days_Min,SeaLevel14_days_Max,SeaLevel14_days_Avg,SeaLevel14_days_Std_dev,ResultSpeed14_days_Min,ResultSpeed14_days_Max,ResultSpeed14_days_Avg,ResultSpeed14_days_Std_dev,ResultDir14_days_Min,ResultDir14_days_Max,ResultDir14_days_Avg,ResultDir14_days_Std_dev,AvgSpeed14_days_Min,AvgSpeed14_days_Max,AvgSpeed14_days_Avg,AvgSpeed14_days_Std_dev
1,2007-05-01,83,50,67,51,56.0,0,2,0.0,29.1,29.82,1.7,27,9.2,83,83,83,0,50,50,50,0,67,67,67,0,51,51,51,0,56,56,56.0,0,0,0,0,0,2,2,2,0,0,0.0,0.0,0,29.1,29.1,29.1,0,29.82,29.82,29.82,0,1.7,1.7,1.7,0,27,27,27,0,9.2,9.2,9.2,0
1,2007-05-02,59,42,51,42,47.0,14,0,0.0,29.38,30.09,13.0,4,13.4,83,83,83.0,0,50,50,50.0,0,67,67,67.0,0,51,51,51.0,0,56,56,56.0,0,0,0,0.0,0,2,2,2.0,0,0,0.0,0.0,0,29.1,29.1,29.1,0,29.82,29.82,29.82,0,1.7,1.7,1.7,0,27,27,27.0,0,9.2,9.2,9.2,0
1,2007-05-03,66,46,56,40,48.0,9,0,0.0,29.39,30.12,11.7,7,11.9,59,83,71.0,16.97056274847714,42,50,46.0,5.656854249492381,51,67,59.0,11.313708498984761,42,51,46.5,6.324555320336759,47,56,51.5,6.363961030678928,0,14,7.0,9.899494936611665,0,2,1.0,1.4142135623730951,0,0.0,0.0,0.0,29.1,29.38,29.240000000000002,0.19798989873223158,29.82,30.09,29.955,0.19091883092036754,1.7,13.0,7.35,7.990306627407986,4,27,15.5,16.24807680927192,9.2,13.4,11.3,2.9698484809835004
1,2007-05-04,66,49,58,41,50.0,7,0,0.002,29.31,30.05,10.4,8,10.8,59,83,69.33333333333333,12.328828005937952,42,50,46.0,4.0,51,67,58.0,8.18535277187245,40,51,44.333333333333336,5.830951894845301,47,56,50.333333333333336,4.932882862316247,0,14,7.666666666666667,7.0710678118654755,0,2,0.6666666666666666,1.0,0,0.0,0.0,0.0,29.1,29.39,29.290000000000003,0.16462077633154237,29.82,30.12,30.01,0.1652271164185832,1.7,13.0,8.799999999999999,6.183041322844284,4,27,12.666666666666666,12.489995996796797,9.2,13.4,11.5,2.128379665379277
1,2007-05-05,66,53,60,38,49.0,5,0,0.002,29.4,30.1,11.7,7,12.0,59,83,68.5,10.198039027185569,42,50,46.75,3.4641016151377544,51,67,58.0,6.6332495807108,40,51,43.5,5.0,47,56,50.25,4.031128874149275,0,14,7.5,5.744562646538029,0,2,0.5,1.0,0,0.002,0.0005,0.001,29.1,29.39,29.295,0.1347837774610374,29.82,30.12,30.02,0.13638181696985868,1.7,13.0,9.2,5.1114251111276845,4,27,11.5,10.44030650891055,9.2,13.4,11.325,1.772709790123584
1,2007-05-06,68,49,59,30,46.0,6,0,0.0,29.57,30.29,14.4,11,15.0,59,83,68.0,8.888194417315589,42,53,48.0,4.123105625617661,51,67,58.4,5.830951894845301,38,51,42.4,5.0,47,56,50.0,3.5355339059327378,0,14,7.0,5.0990195135927845,0,2,0.4,0.0,0,0.002,0.0008,0.0010954451150103322,29.1,29.4,29.316000000000003,0.12581732790041195,29.82,30.12,30.036,0.12340988615179928,1.7,13.0,9.7,4.565632486304608,4,27,10.6,9.273618495495704,9.2,13.4,11.459999999999999,1.564608577248636
1,2007-05-07,83,47,65,41,54.0,0,0,0.002,29.38,30.12,8.6,18,10.5,59,83,68.0,7.937253933193772,42,53,48.166666666666664,3.7416573867739413,51,67,58.5,5.196152422706632,30,51,40.333333333333336,6.708203932499369,46,56,49.333333333333336,3.559026084010437,0,14,6.833333333333333,4.58257569495584,0,2,0.3333333333333333,0.0,0,0.002,0.0006666666666666666,0.0010327955589886446,29.1,29.57,29.358333333333334,0.15302505241517333,29.82,30.29,30.078333333333333,0.15144856112445107,1.7,14.4,10.483333333333333,4.511947103708849,4,27,10.666666666666666,8.306623862918075,9.2,15.0,12.049999999999999,2.0117156856772778
1,2007-05-08,82,54,68,58,62.0,0,3,0.0,29.29,30.03,2.7,11,5.8,59,83,70.14285714285714,9.219544457292887,42,53,48.0,3.4641016151377544,51,67,59.42857142857143,5.291502622129181,30,51,40.42857142857143,6.164414002968976,46,56,50.0,3.696845502136472,0,14,5.857142857142857,4.898979485566356,0,2,0.2857142857142857,0.0,0,0.002,0.0008571428571428572,0.0010690449676496977,29.1,29.57,29.361428571428572,0.13993195625357444,29.82,30.29,30.084285714285716,0.1391470616358991,1.7,14.4,10.214285714285714,4.179883798794958,4,27,11.714285714285714,8.06225774829855,9.2,15.0,11.828571428571427,1.927618812347059
1,2007-05-09,77,61,69,59,63.0,0,4,0.13,29.21,29.94,3.9,9,6.2,59,83,71.625,9.486832980505138,42,54,48.75,3.7416573867739413,51,68,60.5,5.830951894845301,30,58,42.625,8.426149773176359,46,62,51.5,5.451081150953975,0,14,5.125,5.0,0,3,0.625,1.0,0,0.002,0.00075,0.0010350983390135314,29.1,29.57,29.3525,0.13199025938086675,29.82,30.29,30.0775,0.13024701806293168,1.7,14.4,9.275,4.693993121913519,4,27,11.625,7.416198487095663,5.8,15.0,11.075,2.7799023621086305
1,2007-05-10,84,56,70,52,60.0,0,5,0.0,29.2,29.92,0.7,17,4.1,59,83,72.22222222222223,9.055385138137417,42,61,50.111111111111114,5.385164807134504,51,69,61.44444444444444,6.082762530298219,30,59,44.44444444444444,9.591663046625438,46,63,52.77777777777778,6.379219736334879,0,14,4.555555555555555,5.0,0,4,1.0,1.4142135623730951,0,0.13,0.015111111111111112,0.04309421203724592,29.1,29.57,29.336666666666662,0.1322875655532291,29.82,30.29,30.06222222222222,0.13017082793177728,1.7,14.4,8.677777777777779,4.742303706474781,4,27,11.333333333333334,7.0,5.8,15.0,10.533333333333333,3.066349621292393
